ID;Woonplaatsen;Woonplaatscode_1;Woonplaats;Code_3;Provincie;Code_5;Deel;Code_7
0;WP1925;WP1925    ;Almelo                             ;GM0141    ;Overijssel               ;PV23      ;Oost-Nederland           ;LD02      
1;WP2774;WP2774    ;Veere                              ;GM0717    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
2;WP2145;WP2145    ;Coevorden                          ;GM0109    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
3;WP2571;WP2571    ;Aalsmeer                           ;GM0358    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
4;WP1600;WP1600    ;Haarlemmermeer                     ;GM0394    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
5;WP2626;WP2626    ;Zaltbommel                         ;GM0297    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
6;WP3387;WP3387    ;Noardeast-Fryslân                  ;GM1970    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
7;WP1193;WP1193    ;Aalten                             ;GM0197    ;Gelderland               ;PV25      ;Oost-Nederland           ;LD02      
8;WP2673;WP2673    ;Nieuwkoop                          ;GM0569    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
9;WP2394;WP2394    ;Assen                              ;GM0106    ;Drenthe                  ;PV22      ;Noord-Nederland          ;LD01      
10;WP2961;WP2961    ;Sluis                              ;GM1714    ;Zeeland                  ;PV29      ;West-Nederland           ;LD03      
11;WP1079;WP1079    ;Alphen aan den Rijn                ;GM0484    ;Zuid-Holland             ;PV28      ;West-Nederland           ;LD03      
12;WP1445;WP1445    ;Laarbeek                           ;GM1659    ;Noord-Brabant            ;PV30      ;Zuid-Nederland           ;LD04      
13;WP2788;WP2788    ;Opmeer                             ;GM0432    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
14;WP2400;WP2400    ;Súdwest-Fryslân                    ;GM1900    ;Friesland                ;PV21      ;Noord-Nederland          ;LD01      
15;WP3147;WP3147    ;Medemblik                          ;GM0420    ;Noord-Holland            ;PV27      ;West-Nederland           ;LD03      
